date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:37	148528/148528	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:41%20GMT	https://twitter-trends.iamrohit.in/argentina/c%c3%83%c2%b3rdoba	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/argentina/c%c3%83%c2%b3rdoba.html	(from https://twitter-trends.iamrohit.in/)
11:47:38	148464/148464	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:41%20GMT	https://twitter-trends.iamrohit.in/argentina/rosario	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/argentina/rosario.html	(from https://twitter-trends.iamrohit.in/)
11:47:38	148544/148544	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:42%20GMT	https://twitter-trends.iamrohit.in/argentina/buenos-aires	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/argentina/buenos-aires.html	(from https://twitter-trends.iamrohit.in/)
11:47:39	148791/148791	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:43%20GMT	https://twitter-trends.iamrohit.in/australia/perth	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/australia/perth.html	(from https://twitter-trends.iamrohit.in/)
11:47:40	147888/147888	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:43%20GMT	https://twitter-trends.iamrohit.in/australia/adelaide	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/australia/adelaide.html	(from https://twitter-trends.iamrohit.in/)
11:47:40	148851/148851	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:44%20GMT	https://twitter-trends.iamrohit.in/australia/brisbane	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/australia/brisbane.html	(from https://twitter-trends.iamrohit.in/)
11:47:41	148326/148326	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:45%20GMT	https://twitter-trends.iamrohit.in/australia/canberra	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/australia/canberra.html	(from https://twitter-trends.iamrohit.in/)
11:47:42	148832/148832	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:45%20GMT	https://twitter-trends.iamrohit.in/australia/darwin	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/australia/darwin.html	(from https://twitter-trends.iamrohit.in/)
11:47:42	148863/148863	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:46%20GMT	https://twitter-trends.iamrohit.in/australia/melbourne	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/australia/melbourne.html	(from https://twitter-trends.iamrohit.in/)
11:47:43	148883/148883	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:46%20GMT	https://twitter-trends.iamrohit.in/australia/sydney	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/australia/sydney.html	(from https://twitter-trends.iamrohit.in/)
11:47:44	148263/148263	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:47%20GMT	https://twitter-trends.iamrohit.in/austria/vienna	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/austria/vienna.html	(from https://twitter-trends.iamrohit.in/)
11:47:45	124794/124794	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:48%20GMT	https://twitter-trends.iamrohit.in/belarus/brest	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/belarus/brest.html	(from https://twitter-trends.iamrohit.in/)
11:47:45	124810/124810	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:49%20GMT	https://twitter-trends.iamrohit.in/belarus/grodno	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/belarus/grodno.html	(from https://twitter-trends.iamrohit.in/)
11:47:46	124794/124794	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:49%20GMT	https://twitter-trends.iamrohit.in/belarus/gomel	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/belarus/gomel.html	(from https://twitter-trends.iamrohit.in/)
11:47:46	124794/124794	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:50%20GMT	https://twitter-trends.iamrohit.in/belarus/minsk	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/belarus/minsk.html	(from https://twitter-trends.iamrohit.in/)
11:47:47	148958/148958	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:51%20GMT	https://twitter-trends.iamrohit.in/brazil/bras%c3%83%c2%adlia	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/brazil/bras%c3%83%c2%adlia.html	(from https://twitter-trends.iamrohit.in/)
11:47:48	148849/148849	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:51%20GMT	https://twitter-trends.iamrohit.in/brazil/bel%c3%83%c2%a9m	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/brazil/bel%c3%83%c2%a9m.html	(from https://twitter-trends.iamrohit.in/)
11:47:48	148970/148970	---MCZ	200	added ('OK')	text/html	date:Sat,%2016%20Oct%202021%2006:17:52%20GMT	https://twitter-trends.iamrohit.in/brazil/belo-horizonte	C:/My%20Web%20Sites/trends/twitter-trends.iamrohit.in/brazil/belo-horizonte.html	(from https://twitter-trends.iamrohit.in/)
